root,arabic,count,n_lemmas,top_lemmas,pos_distribution,cluster_id,cluster_name,n_surahs,meccan_share,top_co_roots,is_bridge,n_neighbor_clusters,notable
Ebr,عبر,9,4,Eiborap (عِبْرَة) x6; EaAbiriY (عَابِرِى) x1; taEoburu (تَعْبُرُ) x1,"N: 78%, V: 22%",120,,8,0.556,Alh (اله) x4; Awl (اول) x4; kwn (كون) x4; bSr (بصر) x3; Amn (امن) x3,True,14,high inter-cluster connectivity (14 clusters)
$hw,شهو,13,3,{$otahato (ٱشْتَهَتْ) x8; $~ahawa`t (شَّهَوَٰت) x3; $ahowap (شَهْوَة) x2,"V: 62%, N: 38%",5,The Commanded Self,13,0.846,Alh (اله) x3; nsw (نسو) x3; nfs (نفس) x3; *hb (ذهب) x2; Hyy (حيي) x2,True,9,bridge (9 clusters); in named cluster: The Commanded Self
qnTr,قنطر,4,2,qinTaAr (قِنطَار) x3; muqanTarap (مُقَنطَرَة) x1,"N: 75%, ADJ: 25%",8,Allegiance & the Object of Worship,2,0.0,Alh (اله) x2,False,1,rare (4 occ.); in named cluster: Allegiance & the Object of Worship
fDD,فضض,9,2,fiD~ap (فِضَّة) x6; {nfaD~u (ٱنفَضُّ) x3,"N: 67%, V: 33%",199,,6,0.111,Alh (اله) x5; End (عند) x3; nws (نوس) x3; kwn (كون) x3; *hb (ذهب) x2,True,8,high Medinan concentration; bridge (8 clusters)
xyl,خيل,9,3,xayol (خَيْل) x5; muxotaAl (مُخْتَال) x3; yuxay~alu (يُخَيَّلُ) x1,"N: 67%, ADJ: 22%",307,,9,0.444,Alh (اله) x6; Hbb (حبب) x4; $yA (شيا) x3; fxr (فخر) x3; kll (كلل) x3,True,10,high inter-cluster connectivity (10 clusters)
Awb,اوب,17,4,ma_#aAb (مَـ#َاب) x9; >aw~aAb (أَوَّاب) x6; >aw~ibi (أَوِّبِ) x1,"N: 88%, V: 6%",0,The Believers' Reward,8,0.824,Hsn (حسن) x5; Ebd (عبد) x4; End (عند) x3; nEm (نعم) x3; Alh (اله) x2,True,11,high inter-cluster connectivity (11 clusters); in named cluster: The Believers' Reward
grr,غرر,27,3,gar~a (غَرَّ) x15; guruwr (غُرُور) x9; garuwr (غَرُور) x3,"V: 56%, N: 44%",96,Dunya vs. Ākhirah,14,0.63,Alh (اله) x10; qwl (قول) x8; Hyy (حيي) x8; dnw (دنو) x8; kwn (كون) x6,True,18,high inter-cluster connectivity (18 clusters); in named cluster: Dunya vs. Ākhirah
fry,فري,60,8,{fotaraY` (ٱفْتَرَىٰ) x50; {fotiraA^' (ٱفْتِرَا^ء) x2; mufotaruwn (مُفْتَرُون) x2,"V: 85%, N: 13%",4,"Revelation, Speech & Disbelief",24,0.883,Alh (اله) x38; qwl (قول) x26; kwn (كون) x22; k*b (كذب) x22; Zlm (ظلم) x11,True,22,"high Meccan concentration; high inter-cluster connectivity (22 clusters); in named cluster: Revelation, Speech & Disbelief"
nzE,نزع,20,5,nazaEa (نَزَعَ) x10; tana`zaEu (تَنَٰزَعُ) x7; yuna`ziEu (يُنَٰزِعُ) x1,"V: 90%, N: 10%",291,,16,0.7,Alh (اله) x8; Amr (امر) x6; kll (كلل) x4; qwl (قول) x4; ydy (يدي) x3,True,15,high inter-cluster connectivity (15 clusters)
wlj,ولج,14,3,yuwliju (يُولِجُ) x10; yalija (يَلِجَ) x3; waliyjap (وَلِيجَة) x1,"V: 93%, N: 7%",24,,8,0.429,lyl (ليل) x5; nhr (نهر) x5; smw (سمو) x5; Alh (اله) x5; Elm (علم) x4,True,12,high inter-cluster connectivity (12 clusters)
Sdr,صدر,46,3,Sador (صَدْر) x44; yuSodira (يُصْدِرَ) x1; yaSoduru (يَصْدُرُ) x1,"N: 96%, V: 4%",14,,31,0.674,Alh (اله) x20; Elm (علم) x19; qwl (قول) x13; Amn (امن) x10; kwn (كون) x9,True,29,high inter-cluster connectivity (29 clusters)
Amd,امد,4,1,>amad (أَمَد) x4,N: 100%,8,Allegiance & the Object of Worship,4,0.5,Alh (اله) x2,False,1,noun-only; rare (4 occ.); in named cluster: Allegiance & the Object of Worship
wDE,وضع,26,4,waDaEa (وَضَعَ) x21; m~awaADiE (مَّوَاضِع) x3; >awoDaEu (أَوْضَعُ) x1,"V: 85%, N: 12%",156,,18,0.346,Alh (اله) x12; Elm (علم) x7; qwl (قول) x6; Hml (حمل) x6; kwn (كون) x5,True,28,high inter-cluster connectivity (28 clusters)
rjm,رجم,14,5,rajiym (رَجِيم) x6; rajamo (رَجَمْ) x5; rajom (رَجْم) x1,"V: 36%, N: 36%",9,,12,0.929,qwl (قول) x9; $Tn (شطن) x5; Alh (اله) x3; Ew* (عوذ) x3; rbb (ربب) x3,True,7,high Meccan concentration; bridge (7 clusters)
kfl,كفل,10,5,kifol (كِفْل) x4; yakofulu (يَكْفُلُ) x3; kaf~ala (كَفَّلَ) x1,"V: 50%, N: 50%",282,,8,0.6,Alh (اله) x4; kll (كلل) x4; qwl (قول) x4; $yA (شيا) x2; Hsn (حسن) x2,True,8,bridge (8 clusters)
glm,غلم,13,1,gula`m (غُلَٰم) x13,N: 100%,84,,8,0.923,qwl (قول) x8; b$r (بشر) x6; kwn (كون) x5; rbb (ربب) x4; Any (اني) x3,True,9,noun-only; high Meccan concentration; bridge (9 clusters)
Eqr,عقر,8,2,Eaqara (عَقَرَ) x5; EaAqir (عَاقِر) x3,"V: 62%, N: 38%",84,,7,0.875,kwn (كون) x4; qwl (قول) x4; rbb (ربب) x4; mrA (مرا) x3; Any (اني) x2,True,5,high Meccan concentration; bridge (5 clusters)
rmz,رمز,1,1,ramoz (رَمْز) x1,N: 100%,541,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
E$w,عشو,14,4,Ea$iY~ (عَشِىّ) x10; Ei$aA^' (عِشَا^ء) x2; yaEo$u (يَعْشُ) x1,"N: 79%, T: 14%",67,,11,0.857,bkr (بكر) x4; rbb (ربب) x4; sbH (سبح) x4; *kr (ذكر) x3; ywm (يوم) x3,True,10,high Meccan concentration; high inter-cluster connectivity (10 clusters)
wHy,وحي,78,2,>awoHaY`^ (أَوْحَىٰ^) x72; waHoY (وَحْى) x6,"V: 92%, N: 8%",4,"Revelation, Speech & Disbelief",33,0.885,kwn (كون) x22; qwl (قول) x21; Alh (اله) x21; rbb (ربب) x17; qwm (قوم) x12,True,30,"high Meccan concentration; high inter-cluster connectivity (30 clusters); in named cluster: Revelation, Speech & Disbelief"
